ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
* del Dor,05 44 46.378,-65 44 7.901,-28.91,5.17,21.8,-8.3
* alf Ret,04 14 25.484,-62 28 25.892,41.97,49.42,20.18,35.5
* del Ret,03 58 44.749,-61 24 0.667,9.8,-14.3,6.2,-1.4
* gam Ret,04 00 53.809,-62 09 33.425,3.03,34.67,6.95,-7.0
* phi Eri,02 16 30.586,-51 30 43.796,91.03,-22.23,21.22,10.4
HD 12055,01 57 10.08,-47 23 7.007,105.735,10.665,15.0311,13.36
* psi Phe,01 53 38.741,-46 18 9.605,-93.16,-91.17,9.54,2.9
* Q Vel,10 08 56.24,-51 48 40.539,-14.96,0.48,2.45,14.0
* phi Vel,09 56 51.742,-54 34 4.039,-13.08,3.55,2.05,13.9
* N Vel,09 31 13.319,-57 02 3.758,-32.54,5.87,13.65,-13.9
* a Car,09 10 58.086,-58 58 0.817,-16.64,15.0,7.3,23.3
* iot Car,09 17 5.407,-59 16 30.835,-18.86,11.98,4.26,12.0
* c Car,08 55 2.828,-60 38 40.6,-28.18,41.48,10.2,25.0
* del Vol,07 16 49.824,-67 57 25.748,-4.43,8.38,4.42,24.62
* tet Dor,05 13 45.456,-67 11 6.93,18.485,38.123,6.0186,9.61
* bet Ret,03 44 11.981,-64 48 24.891,311.534,83.557,30.4404,47.38
* kap Ret,03 29 22.677,-62 56 15.104,382.538,373.589,45.9103,13.33
* chi Eri,01 55 57.46,-51 36 31.959,680.11,294.318,56.8508,-6.3
* gam Phe,01 28 21.927,-43 19 5.65,-18.06,-208.63,13.96,25.8
* p Vel,10 37 18.14,-48 13 32.235,-133.41,-1.82,37.26,21.2
* h Car,09 34 26.651,-59 13 47.107,-10.74,6.6,2.46,18.2
* m Car,09 39 20.999,-61 19 41.017,-34.09,18.55,14.45,20.0
* i Car,09 11 16.721,-62 19 1.13,-37.48,14.59,6.01,17.5
* k Car,09 20 56.813,-62 24 16.681,-13.78,-0.181,14.5169,51.12
* alf Vol,09 02 26.796,-66 23 45.873,-2.0,-95.51,26.11,7.6
* bet Vol,08 25 44.195,-66 08 12.805,-35.74,-152.22,30.33,27.4
* eps Vol,08 07 55.794,-68 37 1.433,-29.781,29.887,5.0597,9.0
* gam02 Vol,07 08 44.866,-70 29 56.149,23.62,108.653,24.4775,2.8
* bet Hor,02 58 47.796,-64 04 16.634,23.142,4.943,10.1567,23.6
* del Phe,01 31 15.105,-49 04 21.731,138.38,153.89,22.95,-7.3
* nu. Phe,01 15 11.121,-45 31 53.993,665.086,178.07,65.527,11.845
* mu. Vel,10 46 46.179,-49 25 12.924,63.22,-54.21,27.84,6.2
* Y Vel,10 31 21.821,-53 42 55.741,-419.935,209.671,45.3276,21.37
* J Vel,10 20 54.796,-56 02 35.656,-12.192,5.367,2.2692,10.4
V* GZ Vel,10 19 36.751,-55 01 45.502,-14.21,3.41,1.76,12.9
NGC 3114,10 02 12.7,-60 02 28.0,-7.376,3.779,0.954,-3.5
* l Car,09 45 14.812,-62 30 28.45,-12.697,7.988,1.9842,2.5
* ups Car,09 47 6.122,-65 04 19.227,-11.51,4.71,2.27,13.6
* zet Vol,07 41 49.261,-72 36 21.957,33.34,14.89,23.13,49.03
* zet Hyi,02 45 32.634,-67 36 59.82,66.102,43.764,11.0516,3.6
* eps Hyi,02 39 35.361,-68 16 1.01,87.3,0.09,21.48,13.6
* alf Hyi,01 58 46.195,-61 34 11.495,263.66,26.77,45.43,8.7
* bet Phe,01 06 5.04,-46 43 6.278,-80.81,34.97,0.12,-1.1
* x Vel,10 39 18.393,-55 36 11.762,-18.8,4.85,3.88,21.0
* r Car,10 35 35.297,-57 33 27.483,-15.93,0.49,2.77,9.9
* s Car,10 27 52.729,-58 44 21.851,-14.47,2.36,2.43,9.4
* t02 Car,10 38 44.996,-59 10 58.785,-14.799,0.626,2.3038,11.0
IC 2581,10 27 28.1,-57 37 34.0,-7.275,3.594,0.352,-4.6
V* V399 Car,10 27 24.47,-57 38 19.698,-7.377,3.688,0.4976,-0.5
* q Car,10 17 4.975,-61 19 56.288,-24.73,7.2,4.96,8.2
* p Car,10 32 1.463,-61 41 7.196,-17.01,11.5,6.75,26.0
* E Car,09 05 38.375,-70 32 18.594,-3.87,9.088,2.4706,19.0
* bet Car,09 13 11.977,-69 43 1.947,-156.47,108.95,28.82,-5.1
* G Car,09 05 8.813,-72 36 9.744,-8.81,-5.26,8.14,22.5
* gam Hyi,03 47 14.341,-74 14 20.269,50.85,114.74,15.24,12.76
* del Hyi,02 21 44.942,-68 39 33.907,-50.395,3.214,23.2796,6.0
* u Car,10 53 29.656,-58 51 11.413,78.169,38.8,33.5225,8.1
* w Car,10 43 32.29,-60 33 59.831,-14.75,3.1,2.86,9.1
HD 93194,10 44 6.915,-63 57 39.853,-16.31,12.44,6.63,25.5
HD 92938,10 42 14.119,-64 27 59.134,-17.821,11.58,6.7516,24.2
HD 93607,10 46 51.219,-64 23 0.505,-18.59,9.832,6.6468,12.0
* tet Car,10 42 57.402,-64 23 40.021,-18.36,12.03,7.16,20.6
* L Car,10 22 58.146,-66 54 5.39,-22.39,11.48,8.12,12.0
* ome Car,10 13 44.217,-70 02 16.456,-36.01,7.09,9.54,10.4
* tet Cha,08 20 38.541,-77 29 4.117,-129.05,40.89,21.0,21.46
* alf Cha,08 18 31.552,-76 55 11.007,110.515,107.125,51.3172,-12.6
* nu. Hyi,02 50 28.46,-75 04 1.014,-33.506,-26.239,9.457,3.09
* eta02 Hyi,01 54 56.131,-67 38 50.291,75.927,73.401,14.7444,-17.928
* mu. Phe,00 41 19.552,-46 05 6.018,-28.2,1.8,13.27,17.41
* y Car,11 12 36.013,-60 19 3.455,-6.302,2.021,0.3932,-8.4
* x Car,11 08 35.39,-58 58 30.136,-4.97,1.67,0.52,6.0
* z Car,11 06 32.426,-62 25 26.811,-37.621,9.269,8.5066,-1.07
* K Car,10 30 20.127,-71 59 34.06,27.59,-30.73,12.52,7.5
HD 91496,10 31 2.061,-73 13 17.373,-7.605,7.754,2.5906,13.14
* I Car,10 24 23.706,-74 01 53.8,-15.399,-28.433,61.4342,-4.7
* kap Tuc,01 15 46.162,-68 52 33.336,412.11,127.74,47.72,7.7
* eta Phe,00 43 21.238,-57 27 47.007,-5.07,16.51,13.24,7.7
* lam01 Phe,00 31 24.981,-48 48 12.651,140.561,19.647,18.4705,-2.0
* A Cen,11 34 45.656,-54 15 50.732,-56.17,16.19,7.65,5.7
* lam Cen,11 35 46.878,-63 01 11.406,-33.863,-7.236,8.277,-1.1
* gam Cha,10 35 28.107,-78 36 28.032,-37.61,11.08,7.81,-22.4
* del02 Cha,10 45 47.005,-80 32 24.678,-36.86,5.9,9.3,22.6
* bet01 Tuc,00 31 32.668,-62 57 29.583,84.011,-54.85,22.8384,14.0
* bet02 Tuc,00 31 33.422,-62 57 56.134,105.607,-48.057,19.5923,9.8
* B Cen,11 51 8.691,-45 10 24.492,-72.928,-7.964,7.9199,2.2
HD 102350,11 46 30.823,-61 10 42.236,-21.87,-16.41,8.37,-2.64
* j Cen,11 49 41.067,-63 47 18.501,-22.022,2.755,4.5957,29.0
HD 101570,11 40 53.634,-62 05 24.365,-15.493,0.981,3.0181,18.32
* lam Mus,11 45 36.419,-66 43 43.544,-100.35,33.49,25.65,15.0
* mu. Mus,11 48 14.535,-66 48 53.675,30.34,-15.71,6.8524,37.4
HD 102839,11 49 56.615,-70 13 32.841,-8.113,-0.834,2.1101,13.54
* tet Oct,00 01 35.699,-77 03 56.611,-56.841,-176.791,15.4549,22.48
* bet Hyi,00 25 45.07,-77 15 15.286,2219.54,324.09,134.07,23.085
NGC 104,00 24 5.359,-72 04 53.2,5.25,-2.53,0.232,-17.2
* zet Tuc,00 20 4.259,-64 52 29.257,1706.747,1164.959,116.1826,9.28
* eps Phe,00 09 24.64,-45 44 50.726,120.393,-179.597,22.6081,-9.2
HD 105382,12 08 5.222,-50 39 40.575,-32.587,-11.55,9.1857,16.5
* del Cen,12 08 21.498,-50 43 20.739,-49.94,-7.19,7.86,11.0
* rho Cen,12 11 39.12,-52 22 6.384,-38.874,-13.28,12.4692,15.0
* del Cru,12 15 8.717,-58 44 56.137,-35.81,-10.36,9.45,22.2
* tet01 Cru,12 03 1.501,-63 18 46.541,-152.35,7.0,13.88,-2.8
* tet02 Cru,12 04 19.22,-63 09 56.517,-18.467,0.467,4.7314,16.3
* zet Cru,12 18 26.242,-64 00 11.107,-37.431,-6.576,9.2402,15.8
* eta Cru,12 06 52.898,-64 36 49.431,34.27,-36.902,50.7919,13.13
* eps Mus,12 17 34.277,-67 57 38.649,-231.04,-26.39,10.82,7.1
* gam Mus,12 32 28.013,-72 07 58.76,-51.34,-5.4,10.04,2.5
* bet Cha,12 18 20.825,-79 18 44.071,-37.97,11.15,10.93,23.0
* bet Oct,22 46 3.511,-81 22 53.812,-54.49,1.16,21.85,19.0
* eps Tuc,23 59 54.978,-65 34 37.68,47.93,-22.95,8.74,8.8
* eta Tuc,23 57 35.079,-64 17 53.627,78.849,-61.755,20.4208,32.5
* G Cen,12 26 31.76,-51 27 2.29,-30.66,-10.13,7.28,5.0
* gam Cru,12 31 9.96,-57 06 47.568,28.23,-265.08,36.83,21.0
* eps Cru,12 21 21.609,-60 24 4.129,-170.93,91.67,14.19,-4.6
HD 108250,12 26 30.883,-63 07 20.047,-39.548,-13.76,9.3964,27.0
* alf Mus,12 37 11.018,-69 08 8.033,-40.2,-12.8,10.34,13.0
* del Mus,13 02 16.265,-71 32 55.875,264.17,-22.75,35.88,36.5
* eta Aps,14 18 13.896,-81 00 27.931,-19.981,-65.222,22.9229,-9.4
* del Oct,14 26 55.232,-83 40 4.387,-96.12,-13.27,10.91,4.6
HD 222095,23 37 50.994,-45 29 32.467,70.71,-12.66,16.29,3.4
* tau Cen,12 37 42.164,-48 32 28.699,-186.081,-6.757,24.2953,5.5
* sig Cen,12 28 2.382,-50 13 50.287,-32.36,-12.51,7.92,8.0
HD 110956,12 46 22.715,-56 29 19.737,-33.03,-14.84,8.48,16.6
* bet Cru,12 47 43.269,-59 41 19.579,-42.97,-16.18,11.71,10.3
* iot Cru,12 45 38.052,-60 58 52.756,112.266,-65.641,26.1753,7.45
* 39 Cru,12 41 56.569,-59 41 8.954,-24.464,-4.226,3.8643,12.5
* lam Cru,12 54 39.183,-59 08 48.123,-32.92,-14.6,8.5,12.0
HD 115211,13 17 13.013,-66 47 0.38,-15.346,-6.77,2.5221,-10.38
* eta Mus,13 15 14.941,-67 53 40.528,-36.46,-11.36,8.52,-8.0
* alf Aps,14 47 51.712,-79 02 41.103,-4.58,-15.88,7.3,-0.1
* nu. Oct,21 41 28.542,-77 23 24.032,68.656,-250.044,51.5172,34.4
* gam Tuc,23 17 25.756,-58 14 8.525,-10.769,74.585,44.0808,18.4
* w Cen,12 42 35.451,-48 48 47.19,-123.84,-30.17,17.11,-10.86
* gam Cen,12 41 31.04,-48 57 35.538,-185.72,5.79,25.06,-5.5
* mu.01 Cru,12 54 35.625,-57 10 40.523,-30.69,-13.08,7.87,13.9
V* V831 Cen,13 12 17.595,-59 55 14.084,-29.71,-17.4,8.61,12.0
HD 114837,13 14 15.145,-59 06 11.654,-248.678,-153.176,54.8247,-63.62
* J Cen,13 22 37.933,-60 59 18.17,-29.518,-21.698,8.8824,6.0
* m Cen,13 24 0.483,-64 32 8.411,28.959,-21.326,12.8919,13.26
* del01 Aps,16 20 20.805,-78 41 44.689,-10.23,-37.43,4.28,-12.0
* gam Aps,16 33 27.084,-78 53 49.737,-125.51,-78.25,20.87,5.4
* nu. Tuc,22 33 0.062,-61 58 55.639,40.07,-20.17,11.24,-3.4
* zet Gru,23 00 52.808,-52 45 14.799,-64.223,-17.832,19.9108,-1.1
* e Cen,12 53 6.906,-48 56 35.926,-79.45,-24.729,10.3334,-2.4
* ksi01 Cen,13 03 33.305,-49 31 38.149,-47.858,-11.496,14.8276,0.0
* ksi02 Cen,13 06 54.639,-49 54 22.482,-26.15,-12.03,6.98,14.3
HD 121474,13 57 38.884,-63 41 12.114,-40.64,-33.433,15.2855,21.9
* bet Aps,16 43 4.659,-77 31 2.759,-281.986,-354.837,20.9535,-30.3
* alf Tuc,22 18 30.095,-60 15 34.526,-70.72,-39.44,16.33,42.2
* eta Gru,22 45 37.882,-53 30 0.432,30.717,17.334,7.2136,27.8
* eps Gru,22 48 33.298,-51 19 0.713,107.195,-62.575,25.7902,-0.4
* iot Gru,23 10 21.538,-45 14 48.165,132.5,-26.66,17.8,-4.4
* f Cen,13 06 16.704,-48 27 47.846,-29.85,-15.17,8.36,6.0
* bet Cen,14 03 49.405,-60 22 22.927,-33.27,-23.16,8.32,5.9
* gam TrA,15 18 54.582,-68 40 46.365,-66.58,-32.31,17.74,-3.6
* eps Pav,20 00 35.556,-72 54 37.82,81.78,-132.16,31.04,-6.7
* gam Pav,21 26 26.605,-65 21 58.313,80.815,800.573,108.0102,-30.7
* eps Cen,13 39 53.258,-53 27 59.008,-15.3,-11.72,7.63,3.0
* alf Cir,14 42 30.42,-64 58 30.493,-192.53,-233.51,60.35,7.099
* eps TrA,15 36 43.222,-66 19 1.333,24.35,-54.47,16.17,-15.5
* zet TrA,16 28 28.142,-70 05 3.825,200.742,109.341,82.8699,8.3
* zet Pav,18 43 2.135,-71 25 41.206,0.81,-158.15,14.93,-16.3
* bet Pav,20 44 57.494,-66 12 11.571,-42.67,9.94,24.14,3.7
* eps Ind,22 03 21.654,-56 47 9.523,3966.661,-2536.192,274.8431,-40.035
* del Ind,21 57 55.074,-54 59 33.274,41.94,-3.93,17.34,9.4
* bet Gru,22 42 40.05,-46 53 4.475,135.16,-4.38,18.43,-0.3
* M Cen,13 46 39.378,-51 25 57.953,10.0,-27.62,12.42,-5.8
HD 123569,14 09 54.814,-53 26 20.205,-145.136,-91.064,18.2253,-17.09
* v Cen,14 20 19.543,-56 23 11.39,-9.64,-7.46,2.66,4.2
* alf Cen A,14 39 36.494,-60 50 2.374,-3679.25,473.67,743.0,-21.4
* alf Cen,14 39 29.72,-60 49 55.999,-3608.0,686.0,742.0,-22.3
* alf Cen B,14 39 35.063,-60 50 15.099,-3614.39,802.98,743.0,-22.586
* eps Cir,15 17 38.893,-63 36 37.683,3.209,9.344,7.5809,-4.22
* alf TrA,16 48 39.895,-69 01 39.763,17.99,-31.58,8.35,-3.0
* zet Aps,17 21 59.478,-67 46 14.408,-37.437,-7.925,11.1175,11.36
* kap Pav,18 56 57.029,-67 14 0.581,-8.186,16.042,5.2451,37.8
* del Pav,20 08 43.609,-66 10 55.443,1211.761,-1130.237,163.9544,-21.543
* del01 Gru,22 29 16.175,-43 29 44.025,25.72,-3.32,10.54,4.9
* del02 Gru,22 29 45.434,-43 44 57.197,-14.08,2.57,9.88,2.7
* zet Cen,13 55 32.386,-47 17 18.148,-57.37,-44.55,8.54,6.5
* bet Cir,15 17 30.85,-58 48 4.337,-97.74,-134.15,32.73,9.6
* bet TrA,15 55 8.562,-63 25 50.616,-188.66,-401.85,80.79,0.4
* del TrA,16 15 26.27,-63 41 8.449,2.73,-12.92,5.37,-4.9
* eta Pav,17 45 43.986,-64 43 25.939,-11.96,-56.57,9.26,-7.6
HD 172555,18 45 26.901,-64 52 16.535,31.952,-149.73,34.7355,2.0
* phi01 Pav,20 35 34.85,-60 34 54.297,69.912,-185.861,35.6214,-20.0
* rho Pav,20 37 35.313,-61 31 47.714,59.61,-72.69,17.2,10.42
* bet Ind,20 54 48.603,-58 27 14.962,20.79,-25.2,5.33,-4.9
* alf Gru,22 08 13.985,-46 57 39.508,126.69,-147.47,32.29,10.9
* nu. Cen,13 49 30.276,-41 41 15.752,-26.77,-20.18,7.47,9.0
* mu. Cen,13 49 36.989,-42 28 25.43,-24.25,-18.64,6.45,9.2
* ups01 Cen,13 58 40.749,-44 48 12.909,-27.51,-22.44,7.63,4.8
* ups02 Cen,14 01 43.507,-45 36 12.275,4.873,-17.824,4.9056,-0.5
* sig Lup,14 32 37.057,-50 27 25.775,-29.26,-15.72,5.67,-1.5
* pi. Pav,18 08 34.815,-63 40 6.791,18.02,-207.57,25.09,-15.6
* nu. Pav,18 31 22.425,-62 16 41.885,-1.11,-45.31,7.43,16.95
* lam Pav,18 52 13.034,-62 11 15.332,-1.86,-13.02,2.28,9.0
* alf Pav,20 25 38.857,-56 44 6.323,6.9,-86.02,18.24,2.0
* chi Cen,14 06 2.768,-41 10 46.679,-22.9,-21.69,6.39,12.1
* phi Cen,13 58 16.267,-42 06 2.714,-22.77,-20.13,6.21,5.3
HD 125442,14 20 42.582,-45 11 13.408,37.502,-73.806,21.4601,0.0
* tau02 Lup,14 26 10.814,-45 22 45.402,14.62,-7.33,10.22,-0.6
* iot Lup,14 19 24.222,-46 03 29.144,-12.56,-4.76,9.65,21.6
* tau01 Lup,14 26 8.224,-45 13 17.132,-13.09,-14.67,2.99,-215.0
* alf Lup,14 41 55.756,-47 23 17.515,-20.94,-23.67,7.02,5.4
* rho Lup,14 37 53.226,-49 25 32.98,-28.26,-28.82,10.32,8.0
* zet Lup,15 12 17.096,-52 05 57.292,-112.92,-71.18,27.8,-10.0
* iot01 Nor,16 03 32.089,-57 46 30.264,-120.01,-82.09,25.39,-14.4
* eta Ara,16 49 47.157,-59 02 28.957,39.73,-24.91,10.9,9.0
* del Ara,17 31 5.913,-60 41 1.852,-54.01,-99.25,16.48,10.0
* ksi Pav,18 23 13.637,-61 29 38.083,-1.775,8.96,4.4041,12.2
* eta Ind,20 44 2.334,-51 55 15.493,156.663,-54.644,41.3357,-3.93
* kap Lup,15 11 56.073,-48 44 16.17,-97.126,-48.849,17.5888,-6.6
* kap Nor,16 13 28.73,-54 37 49.683,-4.59,-22.568,6.9638,-13.5
* zet Ara,16 58 37.212,-55 59 24.52,-17.8,-36.67,6.71,-6.0
* gam Ara,17 25 23.659,-56 22 39.815,-0.44,-15.77,2.93,-3.0
* ksi Tel,20 07 23.157,-52 52 50.854,-15.034,11.334,4.3579,36.0
* a Cen,14 23 2.239,-39 30 42.549,-24.15,-21.9,7.13,5.885
* eta Cen,14 35 30.424,-42 09 28.171,-34.73,-32.72,10.67,0.0
* omi Lup,14 51 38.303,-43 34 31.297,-25.2,-27.13,8.07,7.3
* lam Lup,15 08 50.613,-45 16 47.501,-15.707,-18.158,3.5406,9.8
* pi. Lup,15 05 7.235,-47 03 3.829,-25.175,-17.856,6.86,4.5
* eps01 Ara,16 59 35.049,-53 09 37.571,2.16,22.04,9.04,23.85
* bet Ara,17 25 17.988,-55 31 47.574,-8.039,-25.927,4.5601,-0.3
* lam Tel,18 58 27.767,-52 56 19.062,12.18,-8.76,5.33,-2.0
* alf Ind,20 37 34.032,-47 17 29.403,49.24,66.53,33.17,-1.3
* zet Ind,20 49 28.963,-46 13 36.577,39.432,26.204,7.2497,-5.2
* tet01 Mic,21 20 45.619,-40 48 34.62,80.022,24.88,20.1687,2.3
* kap Cen,14 59 9.685,-42 06 15.107,-17.62,-22.51,8.51,8.0
* bet Lup,14 58 31.925,-43 08 2.27,-35.78,-39.83,8.52,0.2
* e Lup,15 12 49.587,-44 30 1.485,-22.01,-21.75,6.47,13.5
* eps Lup,15 22 40.868,-44 41 22.615,-22.86,-18.87,6.37,7.9
* d Lup A,15 35 53.248,-44 57 30.199,-20.794,-20.794,6.846,6.5
* eta Nor,16 03 12.898,-49 13 46.915,42.05,9.14,14.86,-0.3
* gam02 Nor,16 19 50.422,-50 09 19.822,-159.71,-52.25,25.33,-28.9
* b Cen,14 41 57.591,-37 47 36.594,-29.92,-30.68,9.62,2.6
* del Lup,15 21 22.314,-40 38 51.109,-9.163,-17.377,6.7296,-2.4
* ome Lup,15 38 3.204,-42 34 2.444,-149.8,57.37,14.92,-6.8
* g Lup,15 41 11.377,-44 39 40.342,-169.106,-266.391,57.4759,-7.08
* del Nor,16 06 29.452,-45 10 23.808,-18.44,41.784,31.0627,-15.5
* eps Nor,16 27 11.036,-47 33 17.223,-13.68,-19.89,6.15,-12.5
* alf Ara,17 31 50.492,-49 52 34.122,-33.27,-67.22,12.2,0.0
* lam Ara,17 40 23.826,-49 24 56.099,103.685,-175.956,47.7045,4.54
* tet Ara,18 06 37.871,-50 05 29.313,-8.27,-8.7,4.01,3.4
* zet Tel,18 28 49.86,-49 04 14.112,139.1,-228.66,25.84,-30.6
* iot Tel,19 35 12.986,-48 05 57.117,-8.19,-36.977,8.6546,22.45
* k Lup,15 25 20.213,-38 44 0.995,-44.781,-16.941,17.8315,-3.0
* gam Lup,15 35 8.448,-41 10 0.325,-15.62,-25.43,7.75,2.3
HD 143009,15 59 30.266,-41 44 39.97,-37.76,-16.48,7.48,-27.0
* mu. Nor,16 34 5.02,-44 02 43.128,0.02,-1.98,0.78,4.1
* sig Ara,17 35 39.59,-46 30 20.462,-25.78,-38.3,8.62,4.3
* eps Tel,18 11 13.761,-45 57 15.882,-18.837,-38.102,8.0405,-26.3
* alf Tel,18 26 58.416,-45 58 6.45,-16.95,-53.09,11.74,-0.2
* del01 Tel,18 31 45.433,-45 54 53.317,-3.75,-27.43,4.61,7.0
* bet02 Sgr,19 23 13.137,-44 47 59.205,93.45,-54.09,24.31,11.5
* bet01 Sgr,19 22 38.299,-44 27 32.25,2.89,-18.125,8.3782,-10.7
* iot Sgr,19 55 15.697,-41 52 5.839,22.61,51.4,17.94,35.8
* 1 Peg,21 22 5.199,+19 48 16.238,105.391,62.841,20.8482,-77.83
* ksi Cep A,22 03 47.44,+64 37 40.696,212.563,89.058,32.12,-7.2
* zet Phe,01 08 23.081,-55 14 44.729,20.87,30.64,10.92,15.4
* kap Tuc A,01 15 46.089,-68 52 33.401,413.48,116.037,42.9912,7.48
* rho Ori A,05 13 17.479,+02 51 40.461,6.014,3.7,13.329,46.39
* 31 Cyg,20 13 37.908,+46 44 28.762,1.744,3.39,2.9167,-7.24
HD 125628,14 22 37.073,-58 27 32.819,-43.66,17.22,8.51,13.56
* alf For A,03 12 4.53,-28 59 15.439,359.565,619.186,71.4337,-17.52
* bet Mon A,06 28 49.07,-07 01 59.014,-6.518,-2.956,4.7209,20.0
* alf Psc A,02 02 2.822,+02 45 49.579,32.692,-2.895,19.7995,8.5
* eta Aqr,22 35 21.381,-00 07 2.989,89.74,-55.81,19.43,-5.5
* f Eri A,03 48 35.874,-37 37 12.516,81.136,-6.795,18.8093,16.0
* tau Her,16 19 44.437,+46 18 48.112,-13.33,38.48,10.61,-15.5
* iot UMa A,08 59 12.453,+48 02 30.562,-439.836,-214.071,68.001,9.0
* alf CMa,06 45 8.917,-16 42 58.017,-546.01,-1223.07,379.21,-5.5
* del Tuc,22 27 19.963,-64 57 58.897,70.691,8.888,11.5977,4.1
* gam Cae A,05 04 24.402,-35 28 58.711,125.972,-42.909,17.5912,9.96
* 47 Tau A,04 13 56.385,+09 15 49.767,-9.823,-30.085,7.9622,-7.98
* rho Her,17 23 40.944,+37 08 45.394,-39.38,7.71,8.29,-21.0
* eps Dra,19 48 10.35,+70 16 4.549,79.486,40.041,21.3219,3.12
* omi Cep A,23 18 37.493,+68 06 41.197,54.277,9.902,16.3251,-18.12
* tet01 Eri,02 58 15.676,-40 18 16.839,-52.273,23.058,19.9047,11.9
* tet02 Eri,02 58 16.404,-40 18 16.906,-50.502,16.613,19.527,18.8
* 32 Eri A,03 54 17.502,-02 57 17.04,26.33,0.079,9.4562,26.3
* del Ser A,15 34 48.145,+10 32 19.88,-73.952,5.748,10.8056,-20.82
* phi Per,01 43 39.638,+50 41 19.433,24.59,-14.01,4.54,0.8
* alf Eri,01 37 42.845,-57 14 12.31,87.0,-38.24,23.39,18.6
* 78 Peg A,23 43 59.485,+29 21 41.24,70.44,-41.07,14.2913,-8.44
